               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.01746,            0.028836,                   0,             0.93201,             0.91841,             0.95883,             0.74625,            0.019216,            0.018449,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.017195,            0.028014,                   0,             0.93659,             0.91623,               0.959,             0.75949,            0.017543,            0.017821,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.016678,            0.027745,                   0,             0.92966,             0.93052,              0.9634,             0.75277,            0.018499,            0.017831,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.016576,            0.028503,                   0,             0.93879,             0.92556,             0.96078,             0.75911,            0.018729,            0.017736,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.016518,            0.027296,                   0,             0.94928,             0.92877,             0.96458,             0.75438,            0.018918,            0.018154,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.016368,            0.027565,                   0,             0.94003,             0.93357,             0.96504,             0.76343,            0.018707,            0.017779,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.016673,            0.027685,                   0,             0.94449,             0.92892,             0.96845,             0.76746,            0.018432,            0.017708,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.016077,            0.027712,                   0,             0.92446,             0.95037,              0.9662,             0.76485,            0.018033,             0.01745,                   0,            0.002575,            0.002575,            0.002575
                  47,             0.01573,            0.026246,                   0,              0.9381,             0.94008,             0.96442,             0.76446,            0.018583,            0.017542,                   0,             0.00241,             0.00241,             0.00241
                  48,             0.01626,            0.026895,                   0,             0.93919,             0.91982,             0.96347,             0.76667,             0.01865,            0.017893,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.015562,            0.026092,                   0,             0.93322,             0.93619,             0.96299,             0.76293,            0.018414,            0.017703,                   0,             0.00208,             0.00208,             0.00208
